#OTU_ID,Phylum,Species
New.CleanUp.ReferenceOTU67791,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU68515,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU68989,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU69543,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU69934,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU71029,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU71771,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU72704,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU72749,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU73789,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU74246,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU75781,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU75813,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU76091,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU76099,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU77122,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU77757,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU77814,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU78813,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU78917,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU79253,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU79948,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU80222,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU80517,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU82106,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU82377,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU82636,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU83298,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU8354,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU84511,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU84610,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU84960,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU84978,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU85241,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU86222,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU86399,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU87043,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU87254,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU88574,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU88792,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU89589,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU89738,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU90367,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU90677,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU93656,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU93657,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU93782,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU94042,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU94194,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU94506,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU94705,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU97494,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU97540,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU9768,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU97927,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU98250,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU98985,Firmicutes,Staphylococcus aureus
New.CleanUp.ReferenceOTU99,Firmicutes,Staphylococcus aureus
